Titulo,Ubicación,Paso,Instruccion,Imagen
Poner el lavavajillas,cocina,0,Mete la vajilla sucia en el lavavajillas,Poner_el_lavavajillas/image0.png
,,1,Abre la cajita del lavavajillas,Poner_el_lavavajillas/image1.png
,,2,Coge la caja de pastillas,Poner_el_lavavajillas/image2.png
,,3,Coge una pastilla,Poner_el_lavavajillas/image3.png
,,4,Métela en la cajita del lavavajillas,Poner_el_lavavajillas/image4.png
,,5,Asegúrate de que está dentro,Poner_el_lavavajillas/image5.png
,,6,Cierra la cajita,Poner_el_lavavajillas/image6.png
,,7,Cierra el lavavajillas,Poner_el_lavavajillas/image7.png
,,8,Dale al botón y espera a que termine el lavado,Poner_el_lavavajillas/image8.png
