Titulo,Ubicación,Paso,Instruccion,Imagen
Hacer la cama,Dormitorio,0,Nos ponemos delante de la cama,Hacer_la_cama/image0.png
,,1,"Quitamos la almohada, y llevamos las sábanas hacia abajo",Hacer_la_cama/image1.png
,,2,Doblamos las sábanas hacia arriba,Hacer_la_cama/image2.png
,,3,Ahuecamos la almohada,Hacer_la_cama/image3.png
,,4,Colocamos la almohada,Hacer_la_cama/image4.png
,,5,Colocamos el cojín y metemos las sábanas por los lados,Hacer_la_cama/image5.png
